,Date,Temp_Max,Temp_Avg,Temp_Min,Dew_Max,Dew_Avg,Dew_Min,Humid_Max,Humid_Avg,Humid_Min,Wind_Max,Wind_Avg,Wind_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Precipitation_Total
0,2019-01-02,77.48235294117647,67.23294117647062,55.48235294117647,49.16470588235294,52.424705882352974,49.16470588235294,87.48235294117647,63.24470588235295,40.38823529411765,5.235294117647059,2.7894117647058834,0.8823529411764706,0.0,0.0,0.0,0.0
1,2019-01-03,77.16470588235295,66.8952941176471,55.1764705882353,48.917647058823526,52.21294117647062,48.917647058823526,87.65882352941176,63.509411764705895,40.64705882352941,5.235294117647059,2.7870588235294127,0.8823529411764706,0.0,0.0,0.0,0.0
2,2019-01-08,75.76470588235294,65.4517647058824,53.858823529411765,48.294117647058826,51.50705882352944,48.294117647058826,88.97647058823529,65.01176470588237,41.8235294117647,5.329411764705882,2.7952941176470603,0.8705882352941177,0.0,0.0,0.0,0.0
3,2019-01-09,75.44705882352942,65.18117647058828,53.76470588235294,48.15294117647059,51.356470588235325,48.15294117647059,89.5764705882353,65.57058823529412,42.48235294117647,5.3882352941176475,2.8164705882352954,0.8823529411764706,0.0,0.0,0.0,0.0
4,2019-01-10,75.12941176470588,64.91647058823534,53.529411764705884,48.023529411764706,51.21764705882355,48.023529411764706,89.84705882352941,65.78705882352942,42.694117647058825,5.411764705882353,2.832941176470589,0.9058823529411765,0.0,0.0,0.0,0.0
5,2019-01-15,73.65882352941176,63.53647058823533,52.27058823529412,47.31764705882353,50.49647058823531,47.31764705882353,91.25882352941177,67.0129411764706,43.67058823529412,5.435294117647059,2.834117647058824,0.9176470588235294,0.0,0.0,0.0,0.0
6,2019-01-16,73.37647058823529,63.28000000000004,52.023529411764706,47.22352941176471,50.36705882352943,47.22352941176471,91.54117647058824,67.27764705882355,43.870588235294115,5.482352941176471,2.8400000000000003,0.9176470588235294,0.0,0.0,0.0,0.0
7,2019-01-17,73.08235294117647,63.00705882352945,51.77647058823529,47.1764705882353,50.26470588235296,47.1764705882353,91.83529411764705,67.59529411764706,44.22352941176471,5.447058823529412,2.828235294117648,0.9058823529411765,0.0,0.0,0.0,0.0
8,2019-01-19,72.54117647058824,62.49764705882357,51.21176470588235,47.05882352941177,50.15176470588236,47.05882352941177,92.68235294117648,68.32235294117648,44.88235294117647,5.447058823529412,2.7988235294117656,0.8470588235294118,0.0,0.0,0.0,0.0
9,2019-01-20,72.4,62.3388235294118,51.03529411764706,46.98823529411764,50.08117647058824,46.98823529411764,92.92941176470588,68.52823529411765,44.98823529411764,5.470588235294118,2.8011764705882363,0.8470588235294118,0.0,0.0,0.0,0.0
